pl_name,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,sy_dist
KELT-23 A b,14.829507,1561.0,991.183,5899.0,0.996,126.261
GJ 3090 b,2.13,693.0,,3556.0,0.516,22.4751
TOI-1680 b,1.466,404.0,4.41,3225.0,0.2106,37.2209
Kepler-763 c,1.42,938.0,182.9,4999.0,0.843,962.459
HATS-32 b,14.000041,1437.0,,5700.0,1.097,745.116
TOI-1075 b,1.791,1323.0,509.2,3875.0,0.581,61.4592
TOI-5261 b,11.60129502,1244.0,,5790.0,1.021,377.054
K2-331 c,2.72,673.0,,5994.0,1.06,211.43
TOI-1601 b,14.19902343,1493.97,,5982.0,2.195,336.608
HIP 8152 c,2.52442508,650.68,,5618.0,0.9603,101.694
HD 110067 b,2.2,800.0,,5266.0,0.788,32.1585
TOI-669 b,2.58606487,1124.85,,5597.0,0.9882,142.867
K2-266 d,2.93,538.3,13.95,4285.0,0.703,77.5586
K2-98 b,5.06645928,1185.0,,6260.0,1.518,518.625
TOI-813 b,6.71,610.0,23.1,5907.0,1.94,263.145
TOI-1450 A b,1.13,722.0,,3437.0,0.483,22.4467
K2-247 b,2.12,979.0,,4667.0,0.69,258.113
TOI-1260 b,2.41,871.0,95.58,4227.0,0.672,73.5977
Qatar-5 b,12.408363,1415.0,669.0,5747.0,1.076,367.658
HIP 41378 e,4.92,335.0,2.1,6320.0,1.273,106.289
TOI-206 b,1.3,910.0,,3383.0,0.35,47.7465
K2-340 b,3.36,606.0,,5532.0,1.13,738.136
HATS-35 b,16.409976,2037.0,,6300.0,1.433,514.555
K2-15 b,2.48,676.0,,5131.0,0.68,493.992
Kepler-87 c,6.14,403.0,,5600.0,1.82,1232.9
HD 23472 b,2.0,543.0,16.0,4684.0,0.71,39.0341
K2-77 b,2.4996027,806.0,,5160.0,0.792,141.731
TOI-5344 b,10.60369574,689.0,38.0,3747.0,0.588,138.367
CoRoT-10 b,10.87,600.0,,5075.0,0.79,338.386
K2-117 c,2.06,537.0,,3778.0,0.51,101.632
HD 213885 b,1.745,2128.0,,5978.0,1.1011,48.0883
TOI-5573 b,9.75,528.0,12.92,3790.0,0.594,186.562
TOI-672 b,5.2604,676.15,,3765.0,0.5441,66.9071
HD 110067 e,1.94,533.0,,5266.0,0.788,32.1585
HATS-53 b,15.02006,1312.0,,5644.0,1.101,585.77
TOI-663 b,2.27,674.0,49.1,3681.0,0.512,64.2308
HATS-65 b,16.824709,1634.0,1178.0,6277.0,1.31,493.32
TOI-815 b,2.94,686.0,36.9,4869.0,0.77,59.7117
Kepler-431 c,0.668,951.0,,6004.0,1.092,486.546
BD-14 3065 b,21.59,2001.0,,6935.0,2.35,589.423
TOI-1294 b,10.12369881,1392.74,,5718.0,1.5566,332.648
Kepler-93 b,1.478,1133.0,275.0,5669.0,0.919,95.9115
TOI-733 b,1.992,1055.8,207.1,5585.0,0.949,75.2092
K2-38 c,2.29,916.0,117.0,5731.0,1.06,192.69
NGTS-26 b,14.88552637,1331.0,523.0,5550.0,1.16,1093.69
WASP-140 b,16.14096,1320.0,,5260.0,0.87,117.598
NGTS-27 b,15.64773706,1783.0,1680.0,5700.0,1.77,942.122
TOI-5786 b,8.54,1040.0,,6235.0,1.36,192.475
TOI-5108 b,6.6,1180.0,,5808.0,1.29,130.919
HATS-9 b,13.85,1746.0,,5599.0,1.56,638.7
IRAS 04125+2902 b,10.73820351,854.0,,4080.0,1.45,159.244
NGTS-6 b,14.863134,1283.9,,4730.0,0.754,308.262
TOI-620 b,3.76,603.6,20.8,3708.0,0.55,33.0231
Kepler-539 b,8.373123,387.6,,5820.0,0.952,307.318
K2-162 b,1.44,631.0,,4842.0,0.69,124.433
Kepler-1984 b,6.81,675.0,48.82,3638.0,0.42,
TOI-2000 b,2.7,1488.0,628.0,5611.0,1.134,175.713
TOI-2589 b,12.10569916,592.0,,5579.0,1.07,200.273
TOI-5720 b,1.09,708.0,41.7,3325.0,0.383,35.8256
EPIC 249893012 c,3.67,990.0,160.0,5430.0,1.71,321.296
